ds_dsei;co_seq_dsei;ano;ativos_e_indigenas;somente_ativos
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2009;19352;19992
MÉDIO RIO PURUS;21;2009;8855;9601
KAIAPÓ DO MATO GROSSO;34;2009;5475;5528
MARANHÃO;19;2009;36035;37110
POTIGUARA;25;2009;23166;27211
VALE DO JAVARI;12;2009;4812;4827
KAIAPÓ DO PARÁ;13;2009;4766;4775
MANAUS;17;2009;34972;36662
AMAPÁ E NORTE DO PARÁ;2;2009;10070;10073
PARINTINS;22;2009;12435;12670
ALTO RIO JURUÁ;4;2009;14916;15076
ARAGUAIA;8;2009;4313;4482
GUAMÁ-TOCANTINS;18;2009;19426;20677
RIO TAPAJÓS;27;2009;9754;9962
INTERIOR SUL;36;2009;50858;52834
ALTO RIO NEGRO;6;2009;33470;33933
XINGU;32;2009;6019;6036
LITORAL SUL;35;2009;14474;15098
VILHENA;30;2009;6499;7002
MATO GROSSO DO SUL;20;2009;84728;86158
BAHIA;9;2009;41167;43919
TOCANTINS;29;2009;10240;10920
PERNAMBUCO;23;2009;59412;61592
ALTO RIO PURUS;5;2009;12178;12601
YANOMAMI;33;2009;21351;21352
CEARÁ;10;2009;31002;33412
XAVANTE;31;2009;16334;16343
CUIABÁ;26;2009;8445;8705
MINAS GERAIS E ESPÍRITO SANTO;11;2009;17628;19246
ALTAMIRA;3;2009;3203;3802
PORTO VELHO;24;2009;10385;11017
ALAGOAS E SERGIPE;1;2009;16883;19318
POTIGUARA;25;2010;23724;27779
LESTE DE RORAIMA;15;2010;57049;57974
ALTO RIO SOLIMÕES;7;2010;60802;61324
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2010;20153;20797
KAIAPÓ DO MATO GROSSO;34;2010;5627;5682
MARANHÃO;19;2010;37408;38495
MÉDIO RIO PURUS;21;2010;9194;9946
VALE DO JAVARI;12;2010;5027;5042
CUIABÁ;26;2010;8717;8980
MANAUS;17;2010;36130;37841
